USN,ME-internals,ME-externals,ME-total,CN-internals,CN-externals,CN-Total,Adv.JAVA-internals,Adv.JAVA-externals,Adv.JAVA-total,DBMS-internals,DBMS-externals,DBMS-total,FLAT-internals,FLAT-externals,FLAT-total,CC-internals,CC-externals,CC-total,CN Lab-internals,CN Lab-externals,CN Lab-total,DBMS Lab-internals,DBMS Lab-externals,DBMS Lab-total
1AT14IS034,14,40,54,12,32,44,14,28,42,17,30,47,12,29,41,12,38,50,12,12,24,15,37,52,
1AT14IS043,18,40,58,14,43,57,17,34,51,17,28,45,14,19,33,15,32,47,15,36,51,16,64,80,
1AT14IS097,13,32,45,12,41,53,18,18,36,15,29,44,14,36,50,12,14,26,15,32,47,15,51,66,
1AT14IS065,14,38,52,13,22,35,20,34,54,18,35,53,16,28,44,13,32,45,14,32,46,18,58,76,
1AT14IS074,20,50,70,14,48,62,20,51,71,18,34,52,15,58,73,12,33,45,15,75,90,17,53,70,
1AT14IS110,17,45,62,12,34,46,18,28,46,14,20,34,13,30,43,12,5,17,12,32,44,15,43,58,
1AT15IS060,16,35,51,12,40,52,18,28,46,14,31,45,12,28,40,12,21,33,12,21,33,16,65,81,
1AT15IS061,16,49,65,12,18,30,19,45,64,15,28,43,12,28,40,16,51,67,12,37,49,15,61,76,
1AT15IS061,16,49,65,12,18,30,19,45,64,15,28,43,12,28,40,16,51,67,12,37,49,15,61,76,
1AT15IS062,16,50,66,14,28,42,18,28,46,16,23,39,17,29,46,15,20,35,15,16,31,18,62,80,
1AT15IS065,18,55,73,14,35,49,19,44,63,18,28,46,18,30,48,14,42,56,14,32,46,18,70,88,
1AT15IS066,20,53,73,16,45,61,20,30,50,18,39,57,16,28,44,17,29,46,12,33,45,17,48,65,
1AT15IS067,14,42,56,12,40,52,16,36,52,15,21,36,12,29,41,12,30,42,12,32,44,15,60,75,
1AT15IS068,16,52,68,15,46,61,20,51,71,15,31,46,13,44,57,13,34,47,12,19,31,15,46,61,
1AT15IS069,20,47,67,15,49,64,20,66,86,18,45,63,18,28,46,18,43,61,17,55,72,18,75,93,
1AT15IS071,18,53,71,18,42,60,20,44,64,19,33,52,19,31,50,18,41,59,20,76,96,19,73,92,
